Order_Line_ID,Order_ID,SKU_ID,Qty_Ordered,Qty_Shipped
OL-000129,ORD-00025,SKU-029,14,11
OL-000130,ORD-00025,SKU-028,18,18
OL-000131,ORD-00025,SKU-014,54,54
OL-000132,ORD-00043,SKU-009,44,36
OL-000133,ORD-00043,SKU-006,32,26
OL-000134,ORD-00043,SKU-007,5,5
OL-000135,ORD-00043,SKU-018,9,9
OL-000136,ORD-00043,SKU-002,19,19
OL-000137,ORD-00254,SKU-025,40,40
OL-000138,ORD-00254,SKU-026,35,35
OL-000139,ORD-00166,SKU-023,25,25
OL-000140,ORD-00166,SKU-019,45,45
OL-000141,ORD-00166,SKU-011,34,19
OL-000142,ORD-00166,SKU-024,53,53
OL-000143,ORD-00231,SKU-026,31,31
OL-000144,ORD-00231,SKU-028,34,34
OL-000145,ORD-00181,SKU-016,37,37
OL-000146,ORD-00181,SKU-019,11,11
OL-000147,ORD-00181,SKU-011,51,51
OL-000148,ORD-00181,SKU-024,26,26
OL-000149,ORD-00107,SKU-017,34,34
OL-000150,ORD-00107,SKU-015,33,33
OL-000151,ORD-00198,SKU-001,26,26
OL-000152,ORD-00282,SKU-012,19,19
OL-000153,ORD-00282,SKU-018,6,6
OL-000154,ORD-00282,SKU-006,38,38
OL-000155,ORD-00282,SKU-017,56,56
OL-000156,ORD-00282,SKU-024,42,42
OL-000157,ORD-00315,SKU-012,5,5
OL-000158,ORD-00315,SKU-005,27,12
OL-000159,ORD-00315,SKU-009,20,20
OL-000160,ORD-00212,SKU-022,33,33
OL-000161,ORD-00008,SKU-020,46,46
OL-000162,ORD-00008,SKU-024,40,40
OL-000163,ORD-00008,SKU-028,54,54
OL-000164,ORD-00008,SKU-019,33,33
OL-000165,ORD-00112,SKU-024,11,11
OL-000166,ORD-00112,SKU-008,32,16
OL-000167,ORD-00112,SKU-019,45,45
OL-000168,ORD-00112,SKU-027,49,49
OL-000169,ORD-00275,SKU-029,58,58
OL-000170,ORD-00275,SKU-019,10,10
OL-000171,ORD-00275,SKU-017,59,59
OL-000172,ORD-00103,SKU-009,50,50
OL-000173,ORD-00093,SKU-021,7,7
OL-000174,ORD-00093,SKU-019,32,32
OL-000175,ORD-00093,SKU-011,47,47
OL-000176,ORD-00093,SKU-027,57,57
OL-000177,ORD-00187,SKU-026,58,58
OL-000178,ORD-00187,SKU-025,18,18
OL-000179,ORD-00187,SKU-029,27,27
OL-000180,ORD-00184,SKU-024,40,40
OL-000181,ORD-00155,SKU-007,35,35
OL-000182,ORD-00317,SKU-023,18,6
OL-000183,ORD-00317,SKU-028,7,7
OL-000184,ORD-00317,SKU-008,8,8
OL-000185,ORD-00176,SKU-002,11,11
OL-000186,ORD-00176,SKU-028,56,56
OL-000187,ORD-00274,SKU-024,45,45
OL-000188,ORD-00274,SKU-020,26,22
OL-000189,ORD-00274,SKU-029,49,49
OL-000190,ORD-00274,SKU-021,26,26
OL-000191,ORD-00178,SKU-028,17,13
OL-000192,ORD-00027,SKU-019,17,17
OL-000193,ORD-00149,SKU-008,27,16
OL-000194,ORD-00149,SKU-001,43,43
OL-000195,ORD-00149,SKU-012,54,54
OL-000196,ORD-00149,SKU-027,38,38
OL-000197,ORD-00149,SKU-015,41,41
OL-000198,ORD-00264,SKU-007,33,12
OL-000199,ORD-00264,SKU-013,24,24
OL-000200,ORD-00067,SKU-022,11,9
OL-000201,ORD-00067,SKU-024,20,20
OL-000202,ORD-00067,SKU-026,35,35
OL-000203,ORD-00067,SKU-009,53,53
OL-000204,ORD-00003,SKU-005,34,34
OL-000205,ORD-00003,SKU-020,59,22
OL-000206,ORD-00003,SKU-019,40,40
OL-000207,ORD-00003,SKU-011,21,15
OL-000208,ORD-00003,SKU-003,47,47
OL-000209,ORD-00288,SKU-030,59,59
OL-000210,ORD-00288,SKU-015,52,52
OL-000211,ORD-00288,SKU-004,43,43
OL-000212,ORD-00251,SKU-002,23,23
OL-000213,ORD-00251,SKU-012,12,12
OL-000214,ORD-00251,SKU-017,10,7
OL-000215,ORD-00251,SKU-015,25,25
OL-000216,ORD-00073,SKU-003,24,24
OL-000217,ORD-00114,SKU-001,29,29
OL-000218,ORD-00114,SKU-017,57,57
OL-000219,ORD-00252,SKU-024,46,46
OL-000220,ORD-00252,SKU-010,32,32
OL-000221,ORD-00252,SKU-014,34,34
OL-000222,ORD-00252,SKU-013,58,58
OL-000223,ORD-00309,SKU-027,17,17
OL-000224,ORD-00309,SKU-011,35,35
OL-000225,ORD-00240,SKU-028,34,34
OL-000226,ORD-00240,SKU-026,59,51
OL-000227,ORD-00022,SKU-018,18,18
OL-000228,ORD-00022,SKU-017,21,21
OL-000229,ORD-00022,SKU-020,22,22
OL-000230,ORD-00022,SKU-006,14,14
OL-000231,ORD-00044,SKU-011,53,53
OL-000232,ORD-00271,SKU-009,8,8
OL-000233,ORD-00305,SKU-008,29,29
OL-000234,ORD-00305,SKU-023,52,52
OL-000235,ORD-00305,SKU-018,31,31
OL-000236,ORD-00136,SKU-019,30,30
OL-000237,ORD-00136,SKU-016,15,12
OL-000238,ORD-00136,SKU-026,14,14
OL-000239,ORD-00136,SKU-025,35,35
OL-000240,ORD-00136,SKU-008,22,14
OL-000241,ORD-00131,SKU-013,40,40
OL-000242,ORD-00134,SKU-028,56,56
OL-000243,ORD-00134,SKU-024,28,18
OL-000244,ORD-00217,SKU-002,56,56
OL-000245,ORD-00206,SKU-002,30,30
OL-000246,ORD-00206,SKU-030,19,19
OL-000247,ORD-00206,SKU-020,33,33
OL-000248,ORD-00206,SKU-009,48,48
OL-000249,ORD-00206,SKU-003,22,22
OL-000250,ORD-00141,SKU-002,51,51
OL-000251,ORD-00036,SKU-020,26,26
OL-000252,ORD-00068,SKU-026,31,31
OL-000253,ORD-00068,SKU-014,26,26
OL-000254,ORD-00068,SKU-021,17,17
OL-000255,ORD-00068,SKU-002,27,27
OL-000256,ORD-00239,SKU-001,20,16
OL-000257,ORD-00077,SKU-013,52,52
OL-000258,ORD-00224,SKU-001,11,8
OL-000259,ORD-00021,SKU-015,28,28
OL-000260,ORD-00021,SKU-001,35,35
OL-000261,ORD-00021,SKU-008,47,47
OL-000262,ORD-00267,SKU-016,37,37
OL-000263,ORD-00267,SKU-008,18,18
OL-000264,ORD-00267,SKU-024,55,55
OL-000265,ORD-00079,SKU-011,23,23
OL-000266,ORD-00079,SKU-020,18,18
OL-000267,ORD-00079,SKU-025,56,56
OL-000268,ORD-00188,SKU-002,15,15
OL-000269,ORD-00188,SKU-015,13,13
OL-000270,ORD-00188,SKU-014,38,38
OL-000271,ORD-00196,SKU-010,12,12
OL-000272,ORD-00278,SKU-028,9,9
OL-000273,ORD-00115,SKU-028,15,15
OL-000274,ORD-00232,SKU-019,17,17
OL-000275,ORD-00232,SKU-005,37,37
OL-000276,ORD-00232,SKU-021,42,30
OL-000277,ORD-00232,SKU-001,51,51
OL-000278,ORD-00232,SKU-004,32,32
OL-000279,ORD-00061,SKU-009,51,51
OL-000280,ORD-00258,SKU-018,59,59
OL-000281,ORD-00258,SKU-014,52,26
OL-000282,ORD-00258,SKU-005,21,21
OL-000283,ORD-00151,SKU-008,29,29
OL-000284,ORD-00151,SKU-028,58,58
OL-000285,ORD-00164,SKU-028,22,22
OL-000286,ORD-00164,SKU-025,35,35
OL-000287,ORD-00164,SKU-011,48,48
OL-000288,ORD-00164,SKU-003,11,11
OL-000289,ORD-00293,SKU-013,9,9
OL-000290,ORD-00293,SKU-007,52,52
OL-000291,ORD-00293,SKU-009,6,6
OL-000292,ORD-00293,SKU-015,45,45
OL-000293,ORD-00013,SKU-012,14,14
OL-000294,ORD-00013,SKU-001,41,41
OL-000295,ORD-00234,SKU-020,53,53
OL-000296,ORD-00234,SKU-009,13,13
OL-000297,ORD-00234,SKU-023,37,37
OL-000298,ORD-00234,SKU-030,17,17
OL-000299,ORD-00092,SKU-024,12,12
OL-000300,ORD-00263,SKU-024,19,19
OL-000301,ORD-00263,SKU-002,5,3
OL-000302,ORD-00263,SKU-019,55,55
OL-000303,ORD-00263,SKU-006,5,2
OL-000304,ORD-00246,SKU-018,36,36
OL-000305,ORD-00246,SKU-028,54,44
OL-000306,ORD-00246,SKU-017,10,10
OL-000307,ORD-00002,SKU-006,37,37
OL-000308,ORD-00002,SKU-019,12,12
OL-000309,ORD-00002,SKU-011,21,21
OL-000310,ORD-00002,SKU-005,23,23
OL-000311,ORD-00002,SKU-015,41,41
OL-000312,ORD-00179,SKU-002,51,51
OL-000313,ORD-00179,SKU-006,18,18
OL-000314,ORD-00179,SKU-001,39,39
OL-000315,ORD-00179,SKU-018,38,38
OL-000316,ORD-00179,SKU-022,15,15
OL-000317,ORD-00219,SKU-015,44,44
OL-000318,ORD-00219,SKU-012,46,18
OL-000319,ORD-00219,SKU-023,36,36
OL-000320,ORD-00296,SKU-022,13,13
OL-000321,ORD-00296,SKU-030,28,28
OL-000322,ORD-00094,SKU-002,56,56
OL-000323,ORD-00094,SKU-014,10,7
OL-000324,ORD-00094,SKU-024,47,47
OL-000325,ORD-00094,SKU-001,53,53
OL-000326,ORD-00094,SKU-026,41,26
OL-000327,ORD-00122,SKU-021,13,10
OL-000328,ORD-00122,SKU-005,24,24
OL-000329,ORD-00124,SKU-005,16,16
OL-000330,ORD-00124,SKU-007,23,23
OL-000331,ORD-00124,SKU-020,30,30
OL-000332,ORD-00124,SKU-006,53,53
OL-000333,ORD-00124,SKU-028,45,45
OL-000334,ORD-00193,SKU-013,40,40
OL-000335,ORD-00193,SKU-019,45,45
OL-000336,ORD-00193,SKU-024,34,24
OL-000337,ORD-00193,SKU-011,48,48
OL-000338,ORD-00064,SKU-015,32,32
OL-000339,ORD-00064,SKU-012,10,10
OL-000340,ORD-00064,SKU-003,5,5
OL-000341,ORD-00064,SKU-028,16,16
OL-000342,ORD-00064,SKU-023,28,28
OL-000343,ORD-00119,SKU-013,44,44
OL-000344,ORD-00119,SKU-007,56,56
OL-000345,ORD-00119,SKU-001,53,53
OL-000346,ORD-00119,SKU-030,39,39
OL-000347,ORD-00126,SKU-010,38,38
OL-000348,ORD-00126,SKU-019,36,36
OL-000349,ORD-00226,SKU-011,56,56
OL-000350,ORD-00226,SKU-001,32,19
OL-000351,ORD-00226,SKU-012,30,30
OL-000352,ORD-00257,SKU-006,23,23
OL-000353,ORD-00318,SKU-011,12,12
OL-000354,ORD-00318,SKU-012,23,23
OL-000355,ORD-00299,SKU-010,42,42
OL-000356,ORD-00304,SKU-011,6,4
OL-000357,ORD-00113,SKU-007,20,20
OL-000358,ORD-00113,SKU-019,31,31
OL-000359,ORD-00113,SKU-015,16,16
OL-000360,ORD-00113,SKU-006,58,58
OL-000361,ORD-00113,SKU-003,15,15
OL-000362,ORD-00019,SKU-030,12,12
OL-000363,ORD-00019,SKU-015,7,7
OL-000364,ORD-00019,SKU-002,5,5
OL-000365,ORD-00069,SKU-003,32,32
OL-000366,ORD-00069,SKU-008,53,53
OL-000367,ORD-00069,SKU-028,11,11
OL-000368,ORD-00298,SKU-005,22,22
OL-000369,ORD-00298,SKU-008,47,47
OL-000370,ORD-00089,SKU-026,10,9
OL-000371,ORD-00089,SKU-024,59,59
OL-000372,ORD-00088,SKU-028,56,56
OL-000373,ORD-00088,SKU-018,21,21
OL-000374,ORD-00088,SKU-010,17,17
OL-000375,ORD-00088,SKU-027,35,35
OL-000376,ORD-00173,SKU-003,27,27
OL-000377,ORD-00173,SKU-024,34,34
OL-000378,ORD-00173,SKU-026,33,33
OL-000379,ORD-00090,SKU-003,18,18
OL-000380,ORD-00200,SKU-005,33,33
OL-000381,ORD-00200,SKU-026,45,45
OL-000382,ORD-00200,SKU-004,45,45
OL-000383,ORD-00163,SKU-025,27,27
OL-000384,ORD-00163,SKU-012,11,11
OL-000385,ORD-00080,SKU-022,11,11
OL-000386,ORD-00080,SKU-001,17,17
OL-000387,ORD-00080,SKU-007,54,54
OL-000388,ORD-00080,SKU-002,44,44
OL-000389,ORD-00007,SKU-012,19,7
OL-000390,ORD-00016,SKU-026,38,38
OL-000391,ORD-00279,SKU-020,27,27
OL-000392,ORD-00065,SKU-014,15,15
OL-000393,ORD-00210,SKU-022,51,51
OL-000394,ORD-00210,SKU-026,36,36
OL-000395,ORD-00046,SKU-016,13,13
OL-000396,ORD-00046,SKU-015,7,7
OL-000397,ORD-00046,SKU-020,56,56
OL-000398,ORD-00046,SKU-022,9,9
OL-000399,ORD-00046,SKU-010,53,53
OL-000400,ORD-00223,SKU-024,23,15
OL-000401,ORD-00139,SKU-014,34,34
OL-000402,ORD-00139,SKU-008,50,50
OL-000403,ORD-00139,SKU-015,28,28
OL-000404,ORD-00111,SKU-011,15,15
OL-000405,ORD-00111,SKU-004,57,57
OL-000406,ORD-00144,SKU-015,50,50
OL-000407,ORD-00192,SKU-011,6,6
OL-000408,ORD-00192,SKU-029,25,25
OL-000409,ORD-00192,SKU-017,11,11
OL-000410,ORD-00192,SKU-004,13,13
OL-000411,ORD-00192,SKU-005,55,55
OL-000412,ORD-00039,SKU-010,55,55
OL-000413,ORD-00260,SKU-002,15,15
OL-000414,ORD-00260,SKU-013,51,18
OL-000415,ORD-00260,SKU-014,59,34
OL-000416,ORD-00260,SKU-029,12,12
OL-000417,ORD-00130,SKU-026,23,23
OL-000418,ORD-00130,SKU-021,35,35
OL-000419,ORD-00130,SKU-011,7,7
OL-000420,ORD-00130,SKU-014,56,56
OL-000421,ORD-00130,SKU-022,23,23
OL-000422,ORD-00147,SKU-024,41,41
OL-000423,ORD-00101,SKU-022,55,55
OL-000424,ORD-00101,SKU-019,34,34
OL-000425,ORD-00101,SKU-002,29,29
OL-000426,ORD-00101,SKU-024,20,20
OL-000427,ORD-00156,SKU-017,8,8
OL-000428,ORD-00156,SKU-030,26,26
OL-000429,ORD-00156,SKU-021,30,30
OL-000430,ORD-00156,SKU-001,48,48
OL-000431,ORD-00049,SKU-014,13,13
OL-000432,ORD-00034,SKU-012,27,27
OL-000433,ORD-00034,SKU-018,44,44
OL-000434,ORD-00034,SKU-014,44,44
OL-000435,ORD-00034,SKU-005,30,30
OL-000436,ORD-00292,SKU-020,9,9
OL-000437,ORD-00292,SKU-030,31,31
OL-000438,ORD-00202,SKU-010,59,59
OL-000439,ORD-00202,SKU-015,51,51
OL-000440,ORD-00202,SKU-017,37,37
OL-000441,ORD-00202,SKU-026,7,7
OL-000442,ORD-00215,SKU-012,46,46
OL-000443,ORD-00215,SKU-025,41,41
OL-000444,ORD-00215,SKU-023,14,14
OL-000445,ORD-00215,SKU-022,21,21
OL-000446,ORD-00215,SKU-008,24,24
OL-000447,ORD-00001,SKU-012,44,44
OL-000448,ORD-00001,SKU-019,37,37
OL-000449,ORD-00001,SKU-010,32,32
OL-000450,ORD-00001,SKU-022,44,44
OL-000451,ORD-00001,SKU-021,54,34
OL-000452,ORD-00201,SKU-013,27,10
OL-000453,ORD-00201,SKU-006,23,23
OL-000454,ORD-00207,SKU-014,22,22
OL-000455,ORD-00207,SKU-008,41,41
OL-000456,ORD-00207,SKU-013,12,6
OL-000457,ORD-00207,SKU-012,41,41
OL-000458,ORD-00177,SKU-027,13,13
OL-000459,ORD-00177,SKU-018,47,47
OL-000460,ORD-00177,SKU-001,56,56
OL-000461,ORD-00177,SKU-009,52,52
OL-000462,ORD-00209,SKU-026,47,28
OL-000463,ORD-00209,SKU-006,12,12
OL-000464,ORD-00209,SKU-020,20,20
OL-000465,ORD-00209,SKU-007,20,20
OL-000466,ORD-00160,SKU-020,45,45
OL-000467,ORD-00160,SKU-028,16,16
OL-000468,ORD-00128,SKU-027,21,21
OL-000469,ORD-00128,SKU-015,39,27
OL-000470,ORD-00128,SKU-023,8,8
OL-000471,ORD-00128,SKU-029,22,22
OL-000472,ORD-00128,SKU-020,44,44
OL-000473,ORD-00110,SKU-017,53,53
OL-000474,ORD-00110,SKU-020,57,57
OL-000475,ORD-00110,SKU-011,38,33
OL-000476,ORD-00110,SKU-013,24,13
OL-000477,ORD-00110,SKU-014,29,29
OL-000478,ORD-00108,SKU-029,51,51
OL-000479,ORD-00084,SKU-009,23,23
OL-000480,ORD-00084,SKU-022,49,49
OL-000481,ORD-00084,SKU-016,18,18
OL-000482,ORD-00084,SKU-027,27,27
OL-000483,ORD-00084,SKU-024,55,55
OL-000484,ORD-00105,SKU-030,17,17
OL-000485,ORD-00105,SKU-009,46,33
OL-000486,ORD-00105,SKU-028,10,10
OL-000487,ORD-00105,SKU-024,31,13
OL-000488,ORD-00105,SKU-025,39,39
OL-000489,ORD-00040,SKU-020,20,20
OL-000490,ORD-00040,SKU-019,21,21
OL-000491,ORD-00040,SKU-007,19,19
OL-000492,ORD-00269,SKU-011,41,41
OL-000493,ORD-00269,SKU-013,49,49
OL-000494,ORD-00269,SKU-017,20,14
OL-000495,ORD-00221,SKU-001,51,51
OL-000496,ORD-00221,SKU-015,17,17
OL-000497,ORD-00221,SKU-011,12,7
OL-000498,ORD-00221,SKU-002,43,43
OL-000499,ORD-00221,SKU-005,47,47
OL-000500,ORD-00291,SKU-028,57,57
OL-000501,ORD-00291,SKU-012,13,13
OL-000502,ORD-00291,SKU-004,6,6
OL-000503,ORD-00291,SKU-014,28,24
OL-000504,ORD-00276,SKU-028,39,24
OL-000505,ORD-00276,SKU-026,8,8
OL-000506,ORD-00276,SKU-018,56,56
OL-000507,ORD-00214,SKU-018,48,48
OL-000508,ORD-00230,SKU-008,17,17
OL-000509,ORD-00230,SKU-015,41,41
OL-000510,ORD-00220,SKU-025,13,10
OL-000511,ORD-00220,SKU-004,28,28
OL-000512,ORD-00220,SKU-021,32,32
OL-000513,ORD-00154,SKU-007,40,40
OL-000514,ORD-00154,SKU-015,5,5
OL-000515,ORD-00154,SKU-009,59,59
OL-000516,ORD-00256,SKU-030,6,4
OL-000517,ORD-00233,SKU-029,58,58
OL-000518,ORD-00233,SKU-003,22,22
OL-000519,ORD-00233,SKU-021,22,22
OL-000520,ORD-00255,SKU-006,16,16
OL-000521,ORD-00255,SKU-014,7,7
OL-000522,ORD-00057,SKU-023,22,22
OL-000523,ORD-00057,SKU-020,48,48
OL-000524,ORD-00038,SKU-024,17,17
OL-000525,ORD-00038,SKU-023,46,34
OL-000526,ORD-00038,SKU-029,44,37
OL-000527,ORD-00038,SKU-026,49,30
OL-000528,ORD-00083,SKU-015,17,8
OL-000529,ORD-00059,SKU-026,34,34
OL-000530,ORD-00059,SKU-016,20,20
OL-000531,ORD-00059,SKU-028,8,8
OL-000532,ORD-00059,SKU-004,33,33
OL-000533,ORD-00059,SKU-007,7,7
OL-000534,ORD-00004,SKU-003,51,51
OL-000535,ORD-00004,SKU-001,47,47
OL-000536,ORD-00051,SKU-002,23,11
OL-000537,ORD-00056,SKU-024,52,52
OL-000538,ORD-00056,SKU-010,19,19
OL-000539,ORD-00056,SKU-006,50,50
OL-000540,ORD-00056,SKU-021,35,35
OL-000541,ORD-00041,SKU-024,26,26
OL-000542,ORD-00041,SKU-002,35,35
OL-000543,ORD-00041,SKU-013,45,45
OL-000544,ORD-00213,SKU-023,34,34
OL-000545,ORD-00213,SKU-010,46,46
OL-000546,ORD-00213,SKU-008,44,44
OL-000547,ORD-00054,SKU-013,16,16
OL-000548,ORD-00054,SKU-011,40,40
OL-000549,ORD-00054,SKU-009,46,46
OL-000550,ORD-00153,SKU-003,8,4
OL-000551,ORD-00153,SKU-021,26,26
OL-000552,ORD-00153,SKU-010,43,26
OL-000553,ORD-00153,SKU-006,59,59
OL-000554,ORD-00153,SKU-004,51,51
OL-000555,ORD-00191,SKU-030,40,40
OL-000556,ORD-00167,SKU-014,55,55
OL-000557,ORD-00185,SKU-006,58,58
OL-000558,ORD-00185,SKU-027,57,57
OL-000559,ORD-00195,SKU-006,45,45
OL-000560,ORD-00195,SKU-018,5,5
OL-000561,ORD-00195,SKU-012,36,36
OL-000562,ORD-00195,SKU-015,46,46
OL-000563,ORD-00195,SKU-007,35,16
OL-000564,ORD-00319,SKU-025,30,30
OL-000565,ORD-00319,SKU-012,6,6
OL-000566,ORD-00062,SKU-019,39,39
OL-000567,ORD-00062,SKU-002,19,19
OL-000568,ORD-00062,SKU-027,20,20
OL-000569,ORD-00118,SKU-022,35,35
OL-000570,ORD-00118,SKU-008,13,13
OL-000571,ORD-00118,SKU-004,26,26
OL-000572,ORD-00194,SKU-008,40,40
OL-000573,ORD-00194,SKU-016,42,13
OL-000574,ORD-00194,SKU-005,51,51
OL-000575,ORD-00194,SKU-004,8,3
OL-000576,ORD-00248,SKU-030,37,37
OL-000577,ORD-00248,SKU-001,54,54
OL-000578,ORD-00268,SKU-022,50,31
OL-000579,ORD-00268,SKU-005,31,15
OL-000580,ORD-00268,SKU-018,51,51
OL-000581,ORD-00268,SKU-026,56,30
OL-000582,ORD-00165,SKU-002,30,30
OL-000583,ORD-00165,SKU-007,15,15
OL-000584,ORD-00165,SKU-010,21,21
OL-000585,ORD-00117,SKU-003,28,28
OL-000586,ORD-00117,SKU-026,33,33
OL-000587,ORD-00117,SKU-001,14,14
OL-000588,ORD-00117,SKU-006,9,9
OL-000589,ORD-00170,SKU-020,52,52
OL-000590,ORD-00010,SKU-010,23,23
OL-000591,ORD-00266,SKU-008,24,24
OL-000592,ORD-00266,SKU-002,23,23
OL-000593,ORD-00055,SKU-019,16,16
OL-000594,ORD-00055,SKU-027,49,49
OL-000595,ORD-00024,SKU-026,39,39
OL-000596,ORD-00024,SKU-020,27,27
OL-000597,ORD-00024,SKU-003,11,11
OL-000598,ORD-00024,SKU-023,15,11
OL-000599,ORD-00024,SKU-001,51,51
OL-000600,ORD-00169,SKU-023,16,12
OL-000601,ORD-00169,SKU-016,27,27
OL-000602,ORD-00169,SKU-003,8,7
OL-000603,ORD-00169,SKU-021,22,22
OL-000604,ORD-00169,SKU-020,30,30
OL-000605,ORD-00048,SKU-016,32,32
